energy_group,tech_group,process_group,n,p10,p25,median,p75,p90
Fossil Fuel,Land-based Oil & Gas,EA,702,0.39421813403416556,0.657030223390276,1.1826544021024967,3.088042049934297,6.435611038107752
Fossil Fuel,Land-based Oil & Gas,EIS,147,7.02365308804205,18.413272010512483,36.26806833114323,62.8777923784494,81.59658344283841
Fossil Fuel,Offshore Oil & Gas,CE,122,0,0.10676741130091985,0.21353482260183967,0.5174113009198423,3.8272010512483603
Fossil Fuel,Offshore Oil & Gas,EA,1,2.923784494086728,2.923784494086728,2.923784494086728,2.923784494086728,2.923784494086728
Fossil Fuel,Offshore Oil & Gas,EIS,17,8.002628120893561,13.173455978975033,26.018396846254927,30.946123521681997,49.4940867279895
Fossil Fuel,Pipeline,CE,471,0.09855453350854139,0.39421813403416556,1.149802890932983,3.4658344283837055,13.994743758212877
Fossil Fuel,Pipeline,EA,47,1.044678055190539,2.562417871222076,5.059132720105125,11.169513797634691,32.161629434953966
Fossil Fuel,Pipeline,EIS,59,3.646517739816033,9.921156373193167,18.626806833114323,46.43561103810775,95.45992115637326
Fossil Fuel,Rural Energy,CE,62,0.07555847568988179,0.23817345597897505,1.0183968462549278,4.590998685939553,12.808804204993425
Fossil Fuel,Rural Energy,EIS,1,11.85939553219448,11.85939553219448,11.85939553219448,11.85939553219448,11.85939553219448
